period,period_date,oem_code,amt_cost_group,qty_revenue,amt_revenue,qty_fcst_avg,qty_fcst_max,qty_fcst_min,amt_projection,amt_budget,qty_inv_main_part_1,qty_inv_main_part_2,qty_inv_main_part_3,qty_inv_main_part_4,qty_inv_main_part_5,qty_inv_FGI
201804,4/1/2018,09J,17626555.34,50976,20182568.52,50976,50976,50976,20000000,14816460,224,12,572,2224,13533,35397
201805,5/1/2018,09J,15383343.24,164228,17918976.65,164228,164228,164228,16100000,15135608,972,2810,420,4500,15,25441
201806,6/1/2018,09J,15866155.91,79832,18472829.14,79832,79832,79832,16000000,15928563,304,25578,10,10,945,21309
201807,7/1/2018,09J,16721623.49,58972,19400338.57,58972,58972,58972,19000000,16116370,115,48,236,6738,912,21472
201808,8/1/2018,09J,15579103.22,51108,18522183.15,51108,51108,51108,18000000,16408657,1229,919,270,120,1524,23524
201809,9/1/2018,09J,13167097.43,44635,15298309.25,44635,44635,44635,16000000,17173609,351,3199,1504,264,4496,21195
201810,10/1/2018,09J,10647040.33,252362,12714242.28,252362,252362,252362,15000000,18151343,3960,11644,280,365,8733,31799
201811,11/1/2018,09J,13605716.61,52938,16086160.36,52938,52938,52938,18000000,19221851,12520,303,451,2,2547,23880
201812,12/1/2018,09J,20494942.71,70235,23956147.05,70235,70235,70235,17000000,19889521,1649,177,592,6136,75,37568
201901,1/1/2019,09J,10557767.4,66035,12401350.22,66035,66035,66035,16000000,17640877,130,264,57,1271,726,32149
201902,2/1/2019,09J,8900172.58,36667,10453482.86,36667,36667,36667,13000000,16312729,49,5888,4972,72,120,39567
201903,3/1/2019,09J,12605157.68,53641,14935630.52,53641,53641,53641,17000000,18100857,4921,11540,819,1250,120,39466
201904,4/1/2019,09J,10081096.37,40030,12239798.09,40030,40030,40030,15000000,17621419,652,481,1585,6852,325,42083
201905,5/1/2019,09J,18569479.01,65508,22358535.9,65508,65508,65508,17000000,19584423,134,24,590,8,2,44673
201906,6/1/2019,09J,13838367.86,54520,16703240.66,8015,10908,10908,16000000,20231060,5,10240,40,30,495,47345
201907,7/1/2019,09J,14858704.28,50983,18054212.7,12403,12809,12809,17000000,19307915,5212,16,826,293735,1608,43892
201908,8/1/2019,09J,15407507.68,263760,19077764.2,9452,11261,11261,17500000,19593963,4575,117,52,3520,975,32426
201909,9/1/2019,09J,17909704.81,64249,22075721.41,11773,14664,14664,16556000,21156033,1933,271,80,679,1319,33919
201910,10/1/2019,09J,17034076.78,56224,21143740.06,11733,13321,13321,19000000,20548697,2497,926,21072,4216,58472,34078
201911,11/1/2019,09J,15229340.16,56627,18541180.32,10824,12510,12510,19072815,21984908,55,23,44,32,5187,31054
201912,12/1/2019,09J,25075809.16,683787,30563160.9,12332,14393,14393,19046008,22963555,325,2349,286,7315,2,34935
202001,1/1/2020,09J,13895904.09,37924,17178001.78,13835,25914,25914,17442104,16919364,1854,356,19097,108,460,35426
202002,2/1/2020,09J,9115486.05,37754,11442338.88,10669,12750,12750,14040310,17147080,38,241,876,2,5,49166
202003,3/1/2020,09J,22344379.92,170948,27645647.14,19547,52270,52270,24000000,19396846,530,135,2288,76,1199,33914
202004,4/1/2020,09J,11387230.74,51145,14488281.81,12090,14694,14694,15000000,17480657,112,4,3480,288,2640,39547
202005,5/1/2020,09J,14230867.84,45627,17476358.82,9165,11923,11923,26078627,19980392,572,24,6420,2552,124680,42789
202006,6/1/2020,09J,19190718.65,83832,23166357.98,15790,20827,20827,27168738,20521780,492,177,371240,47376,2479,38615
202007,7/1/2020,09J,10597168.56,44686,13240837.19,13064,16715,16715,18300000,19796987,7590,20,5673,22,2097,36633
202008,8/1/2020,09J,12489610.53,1440930,15770306.64,15218,16721,16721,20000000,20639387,31312,2641,24,995,20986,35375
202009,9/1/2020,09J,22148916.51,1063658,27211735.05,13035,16141,16141,21790239,21971608,3348,1680,3162,3462,2505,27740
202010,10/1/2020,09J,10042159.45,61175,12264853.82,12714,14775,14775,12000000,21133885,450,114,278,9,430,34432
202011,11/1/2020,09J,22971878.97,62898,27441861.57,17413,33510,33510,28000000,22513917,15846,576,1188,4969,96,30027
202012,12/1/2020,09J,35722874.93,674224,42572581.52,10827,13791,13791,35455647,22652435,393,4329,844,2176,5484,32579
202101,1/1/2021,09J,15434327.2,63184,18943832.23,12719,17231,17231,18039000,19639027,246,89,46700,464,5292,27959
202102,2/1/2021,09J,9643347.27,54395,11671911.89,11502,17989,17989,18073549,18073549,36,350,1482,6141,1060,24612
