period,period_date,oem_code,amt_cost_group,qty_revenue,amt_revenue,qty_fcst_avg,qty_fcst_max,qty_fcst_min,amt_projection,amt_budget,qty_inv_main_part_1,qty_inv_main_part_2,qty_inv_main_part_3,qty_inv_main_part_4,qty_inv_main_part_5,qty_inv_FGI
201804,4/1/2018,168AO,5185386.75,7322,6601056.49,7322,7322,7322,9565000,26959100,48,31656,117561,25,1890,106
201805,5/1/2018,168AO,18388957.22,18437,24086805.68,18437,18437,18437,23549500,26966700,48,2312,40,98,66711,77
201806,6/1/2018,168AO,15025019.13,17254,20705313.3,17254,17254,17254,19924000,30597200,41370,5884,40,1692,2172,75
201807,7/1/2018,168AO,10263033.41,15848,13614128.36,15848,15848,15848,14304500,24037000,18,28360,3292,280,11121,111
201808,8/1/2018,168AO,24996173.64,28910,33885229.41,28910,28910,28910,32000000,24037000,905,6,14951,95238,33,511
201809,9/1/2018,168AO,18829139.53,23981,25083089.07,23981,23981,23981,23380100,24447000,183,1446,364,54,3028,151
201810,10/1/2018,168AO,26024545.88,29296,36155022.35,29296,29296,29296,33000000,21952000,45,1222,130,51,7780,205
201811,11/1/2018,168AO,7248138.95,19153,10336823.13,19153,19153,19153,21601760,28847000,12,3084,40,17328,324,2300
201812,12/1/2018,168AO,22017982.53,46645,30811102.86,46645,46645,46645,24573600,32242000,2181,4410,452,32,1407,2968
201901,1/1/2019,168AO,22610408.22,62639,33763192.56,62639,62639,62639,24543340,19550379,4159,350,1061,16636,14342,579
201902,2/1/2019,168AO,10640474.9,27468,15806622,27468,27468,27468,20289750,19550379,2,1431,130,35,2292,3426
201903,3/1/2019,168AO,22317326.57,54027,33453247.28,54027,54027,54027,27967860,21450571,1352,40776,226,194,101144,6552
201904,4/1/2019,168AO,30657300.86,68885,42770804.62,68885,68885,68885,33000000,19853767,2790,3321,10197,40,216155,9193
201905,5/1/2019,168AO,31815077.11,70109,43668716.52,70109,70109,70109,30500000,18320814,2469,332,103,4115,2768,6698
201906,6/1/2019,168AO,25017034.66,16964,31369389.36,12123,17157,17157,30495364,20535995,297,7920,935,35,83233,7620
201907,7/1/2019,168AO,22761737.83,38849,32657793.08,12211,16608,16608,32414943,18867901,747,446,20672,20550,95725,10614
201908,8/1/2019,168AO,34379591.69,52935,48372123.6,17508,21156,21156,50000000,20357997,1530,47,16,40,4395,10457
201909,9/1/2019,168AO,39036119.98,38477,53516499.33,15281,21121,21121,46739202,24415875,3036,8,241,16980,528,10304
201910,10/1/2019,168AO,23987870.32,74976,34710585.59,15853,20912,20912,34012732,33541294,78,16,14098,54968,49225,11914
201911,11/1/2019,168AO,16947133.01,25598,23825948.19,15745,17832,17832,25297052,33541294,78,241,965,77966,7308,18150
201912,12/1/2019,168AO,25437331.23,36880,35412089.49,14759,25022,25022,39482200,35236767,1759,2565,40,40,22,12875
202001,1/1/2020,168AO,28985038.52,34611,39343424.04,17368,26832,26832,32200000,31712000,2196,77,10228,22,8226,16672
202002,2/1/2020,168AO,23531293.87,27799,32340592.35,15497,18636,18636,27314000,36996000,10,1934,88311,21971,382,13446
202003,3/1/2020,168AO,36207074.05,33237,49317624.03,20265,29948,29948,44309150,29130000,12,1,28980,17062,24,16073
202004,4/1/2020,168AO,28080039.99,30900,38825073.2,19818,29476,29476,40571961,29334200,5460,570,8508,35,4,16425
202005,5/1/2020,168AO,16072860.1,21265,22905603.97,7854,20542,20542,40594000,27990800,208348,6259,10888,12,1730,17170
202006,6/1/2020,168AO,21079964.79,28607,30621385.93,13409,22896,22896,25000000,25460800,4020,178,29036,72,76068,21263
202007,7/1/2020,168AO,21296474.78,31438,30101293.05,13986,21836,21836,31592100,29466000,8451,1955,38740,400,27,10915
202008,8/1/2020,168AO,30997986.48,45562,43707043.82,10036,16060,16060,38218700,33891000,224,420,12560,80,455,12370
202009,9/1/2020,168AO,31741977.69,47990,44491311.52,10303,10420,10420,37223667,35186000,120,300,26130,12828,54885,8210
202010,10/1/2020,168AO,31627818.61,47151,44458479.33,11402,16340,16340,43000000,36906000,813,561,11622,780,20,10427
202011,11/1/2020,168AO,24787645.67,34710,33677577.38,11777,21508,21508,37088742,32466000,16,937,172,105,17891,12307
202012,12/1/2020,168AO,30681510.72,32054,44071979.28,10111,13300,13300,32400000,31496000,522,27,64368,172,185115,8119
202101,1/1/2021,168AO,20606440.17,31323,28329309.14,11666,21908,21908,31555900,37776000,30,8,36668,1560,155712,16300
202102,2/1/2021,168AO,22459599.74,23877,30848077.49,10701,14518,14518,31000000,37776000,519,31,126,240,1677,19307
202103,3/1/2021,168AO,39155963.99,41918,53414587.96,15008,29462,29462,52000000,37915000,31306,59156,76,59156,4338,19300
202104,4/1/2021,168AO,33581574.02,38716,47382316.6,11106,17184,17184,35360000,37179000,19620,49,24,46,83562,19548
202105,5/1/2021,168AO,22923191.84,24105,33261540.27,19063,36383,36383,30000000,36919000,8,300,73540,22,300,16136
202106,6/1/2021,168AO,15835431.07,19831,22982290.62,23544,37176,37176,22000000,37099000,1465,34,92007,7161,6650,25358
202107,7/1/2021,168AO,19667913.82,32113,28023182.42,26769,34058,34058,26000000,37467000,7022,2,2182,45237,574,19595
202108,8/1/2021,168AO,27259275.09,30396,38549060.98,29527,40260,40260,34500000,33997000,10473,27,23588,129250,104135,24673
202109,9/1/2021,168AO,17668546.11,29744,24724595.59,32740,42766,42766,20800200,35808000,36,5,704,10,574,20614
202110,10/1/2021,168AO,17492056.15,24653,24413342.87,24965,38479,38479,24537200,35935000,18905,100,10815,49600,2359,14906
202111,11/1/2021,168AO,19408346.06,63995,25078925.66,34349,53274,53274,29000000,33800000,654,153,214,32165,12,23846
202112,12/1/2021,168AO,28816375.47,269301,36281508.08,28999,40574,40574,28000000,34367000,13101,198,22056,10734,984,33021
202201,1/1/2022,168AO,24477285.46,133806,32219103.11,29354,45710,45710,29010000,38390000,7549,1365,36900,83909,18,24022
202202,2/1/2022,168AO,18351522.14,18785,23841274.81,29841,42996,42996,32010000,41290000,135,24224,1670,25,42015,24280
202203,3/1/2022,168AO,22225083.4,100722,28294126.38,31560,42252,42252,30000000,44190000,71,75174,1829,36,89049,17590
202204,4/1/2022,168AO,29847135.3,20779,36881876.59,38886,47656,47656,35000000,42630000,9,552,91278,13332,130990,24321
202205,5/1/2022,168AO,38950948.02,26457,48507945.1,38192,51412,51412,30000000,42630000,16,5607,8520,20,333,18284
202206,6/1/2022,168AO,22937888.8,23591,29696320.87,34154,46068,46068,35000000,42630000,842,44,1292,22,4,20328
202207,7/1/2022,168AO,36755689.31,30087,46839700.27,28321,44408,44408,45000000,26120000,2068,5880,24,1464,182646,24622
202208,8/1/2022,168AO,20032867.75,20959,25579000.26,36733,45567,45567,38000000,26120000,1111,212,652,718,6300,28526
202209,9/1/2022,168AO,21348086.94,18827,27029127.39,29599,36875,36875,35000000,26120000,13779,783,30,207192,1313,28337
202210,10/1/2022,168AO,24089232.33,115448,30502997.19,26891,39030,39030,30000000,23310000,57708,54,15,198,640,26224
202211,11/1/2022,168AO,25809315.27,22210,32198733.24,26217,36282,36282,30000000,23310000,30,26680,11270,57,1540,25034
202212,12/1/2022,168AO,23950122.84,283037,29907845.5,28170,39843,39843,28100000,23310000,52362,332152,7529,150,13,25593
202301,1/1/2023,168AO,23508327.01,31440,30652515.13,53096,86399,86399,25000000,32195100,37,9504,6907,1840,1770,29789
