period,period_date,oem_code,amt_cost_group,qty_revenue,amt_revenue,qty_fcst_avg,qty_fcst_max,qty_fcst_min,amt_projection,amt_budget,qty_inv_main_part_1,qty_inv_main_part_2,qty_inv_main_part_3,qty_inv_main_part_4,qty_inv_main_part_5,qty_inv_FGI
201804,4/1/2018,18,10934423,86705,12866263.28,86705,86705,86705,12000000,7570887,436,190,144,38162,51,29737
201805,5/1/2018,18,22439896.69,136060,25693788.75,136060,136060,136060,24500000,15968739,770,122,228,60,84,18766
201806,6/1/2018,18,15648174.47,105657,18345437.11,105657,105657,105657,18000000,19676101,620272,85,2710,2912,2020,13322
201807,7/1/2018,18,14128056.33,173253,16070558.68,173253,173253,173253,15000000,15380384,5,1,129950,900,120,15255
201808,8/1/2018,18,20843293.82,120800,23865706.92,120800,120800,120800,25000000,21097709,42123,120,1,68,6,14288
201809,9/1/2018,18,17442835.93,108314,20028469.91,108314,108314,108314,24200000,22430989,6370,103,113,3723,548,14696
201810,10/1/2018,18,13776300.61,87869,16967382.38,87869,87869,87869,17000000,12702747,865,48,95,100,30,24342
201811,11/1/2018,18,29435905.92,218458,33714922.49,218458,218458,218458,25000000,14478016,86,56401,1950,3840,11,20776
201812,12/1/2018,18,23276716.97,134295,26409587.09,134295,134295,134295,22000000,19087711,48,1177,63,82926,700,32593
201901,1/1/2019,18,10223839.98,77595,11681782.92,77595,77595,77595,9400976,9400976,238,4440,144,2000,156,27017
201902,2/1/2019,18,15971908.27,75467,18434700.6,75467,75467,75467,17050590,16050590,46554,285,2403,19,150,25653
201903,3/1/2019,18,15993291.53,161639,18196560.93,161639,161639,161639,22000000,24935589,1215,276,7276,782,696,28678
201904,4/1/2019,18,9584969.57,59754,11285479.41,59754,59754,59754,12000000,16475238,6406,744,3000,38270,8,59093
201905,5/1/2019,18,15404704.36,83799,17962567.96,83799,83799,83799,24000000,28839753,10,804,1200,1060,85,60988
201906,6/1/2019,18,19558904.61,111932,22738759.26,17514,19548,19548,22000000,23825667,7004,55030,1144,960,55555,68573
201907,7/1/2019,18,19634594.3,191640,23206088.24,20051,27081,27081,21700000,18958675,672,144,14296,842,190,53910
201908,8/1/2019,18,23507515.37,124984,27758560.66,22519,32403,32403,26000000,28329200,695,241,46,90,1,48071
201909,9/1/2019,18,24830016.56,111774,29073950.75,22602,40929,40929,21000000,22407908,145,494,806,13752,69949,32118
201910,10/1/2019,18,12333918.35,63007,14219011.22,14488,18246,18246,14000000,16261403,780,166800,10,380,1292,41540
201911,11/1/2019,18,17173714.6,99331,20327535.29,20613,28143,28143,25600000,22875487,30,4016,60,588,4157,44148
201912,12/1/2019,18,22754758.3,128224,26830797.9,17613,32387,32387,29500000,24641513,174,12,215,1156,6192,52400
202001,1/1/2020,18,8967393.09,53793,10577066.1,21718,46453,46453,10000000,13001741,424,134,74952,1874,35514,40245
202002,2/1/2020,18,19162757.13,116969,22649893.86,25445,35148,35148,21400000,19003298,24,242,168,42,162,52894
202003,3/1/2020,18,13931086.87,81652,16783965.73,18608,28795,28795,19000000,18996240,27922,122,216,27,1,39017
202004,4/1/2020,18,11809452.27,63908,13974980.65,26385,62714,62714,13762095,13762095,106566,2300,346,10,207,38573
202005,5/1/2020,18,13570524.58,112275,16214769.05,24039,33044,33044,24790000,26787401,575,24264,91,13230,183215,56647
202006,6/1/2020,18,16287366.28,107284,18723191.21,22464,44630,44630,20000000,28002394,11247,238,34,30,1124,62068
202007,7/1/2020,18,12775207.32,73098,15343133.88,25105,36795,36795,14000000,16149365,1770,978,64,6870,570,64476
202008,8/1/2020,18,10246308.88,58811,12011265.81,20317,29867,29867,17000000,27929876,17,522,86,16,89,56312
202009,9/1/2020,18,12721320.49,719475,14918571.47,23432,31858,31858,21000000,29567095,50,196,90,75,10,48827
202010,10/1/2020,18,13025100.83,78179,15388131.43,22824,30444,30444,14500000,20340858,3014,20,102,900,11253,59728
202011,11/1/2020,18,15541308.8,91235,17962429.58,20351,26137,26137,17500000,21039305,86,750,2,595,124,46655
202012,12/1/2020,18,22032043.06,131767,25471457.11,27282,49478,49478,26270000,25420477,588,4,1133,6282,100,28792
202101,1/1/2021,18,11148499.41,76008,13277738.44,22239,26382,26382,13013319,12013319,994,278,1596,55,4550,46528
202102,2/1/2021,18,10198524.44,73273,11766765.56,19424,25487,25487,18000000,16053948,2,100,281,15964,4,32315
202103,3/1/2021,18,20113398.97,124315,23745537.38,23452,31937,31937,23000000,18007582,20,393344,20,448,10,31363
202104,4/1/2021,18,17878830.4,116397,20899193.27,26654,44398,44398,17000000,14090569,20,8,53,16,45902,39793
202105,5/1/2021,18,13094859.89,88341,15820631.56,23740,32604,32604,16047101,16047101,12060,75,74,4824,3171,39208
202106,6/1/2021,18,15400335.64,100981,18226460.93,25100,33032,33032,19440298,21440298,1914,27947,8280,25,367240,21759
202107,7/1/2021,18,12643757.5,103417,14630680.79,26603,41033,41033,13600000,16015926,20,483,142,1827,20,9962
202108,8/1/2021,18,7118725.43,45239,8844087.38,23492,31302,31302,10000000,22496507,162,136,8,3024,122151,7492
202109,9/1/2021,18,12344208.38,84954,14551193.13,31480,62121,62121,27000000,24163899,12,12,10,11705,370,6639
202110,10/1/2021,18,16914836.22,80663,20131917.36,28046,44460,44460,20000000,20038964,4118,53,17892,1770,120,9234
202111,11/1/2021,18,10252584.98,156630,12700863.88,31618,49955,49955,15000000,21990397,216,148,231,88,3653430,8134
202112,12/1/2021,18,11222808.69,54826,14641379.05,23264,32499,32499,11000000,23641655,175,122,7009,177,1726,17306
202201,1/1/2022,18,22900376.84,104136,27562185.96,32955,72140,72140,30000000,16056107,11230,21108,2699,236,19029,45851
202202,2/1/2022,18,7760660.27,32721,9600089.3,28877,52031,52031,10000000,14912298,34,1346,9,20042,310,36659
202203,3/1/2022,18,19747233.18,97454,23692370.43,31247,59337,59337,23000000,21004270,34,24,2,8601,54678,26323
202204,4/1/2022,18,15887319.67,69823,19255195.38,25507,32282,32282,18000000,19749273,3045,3356,7564,22,1110,17681
202205,5/1/2022,18,12513382.79,66983,15072574.02,25578,41838,41838,15000000,21892128,562,1518,3582,4656,313028,19901
