period,period_date,oem_code,amt_cost_group,qty_revenue,amt_revenue,qty_fcst_avg,qty_fcst_max,qty_fcst_min,amt_projection,amt_budget,qty_inv_main_part_1,qty_inv_main_part_2,qty_inv_main_part_3,qty_inv_main_part_4,qty_inv_main_part_5,qty_inv_FGI
201804,4/1/2018,61P,3983959.46,44434,5648723,44434,44434,44434,5200000,7228434,3015,492,4928,3936,149,1967
201805,5/1/2018,61P,4635960.54,17110,7013860.73,17110,17110,17110,6800000,6524313,144,56,3,1991,6534,2075
201806,6/1/2018,61P,5141245.38,18563,7166812.85,18563,18563,18563,7100000,4494362,49,781,58,5917,10,3774
201807,7/1/2018,61P,5204041.49,19448,7534595.81,19448,19448,19448,7400000,7858136,13,56,9,1,78,2910
201808,8/1/2018,61P,4774811.36,21103,6827502.56,21103,21103,21103,6800000,6594512,460,1407,149,900,1631,5234
201809,9/1/2018,61P,4309360.18,19524,5707628.68,19524,19524,19524,6000000,4399686,188,445,98,22,596,1794
201810,10/1/2018,61P,5426520.52,20314,7610285.52,20314,20314,20314,7200000,7890804,355,827,16305,4,1,2289
201811,11/1/2018,61P,5396465.02,94215,7493820.59,94215,94215,94215,6600000,7085626,363,34,1168,2040,14856,2532
201812,12/1/2018,61P,4787570.3,157567,6657965.36,157567,157567,157567,6800000,4416699,80,29525,117,168,12,2571
201901,1/1/2019,61P,5787589.2,22418,8258407.31,22418,22418,22418,7094056,6807621,3474,474,18,168,53,2137
201902,2/1/2019,61P,3480933.41,8946,5064062.26,8946,8946,8946,5000000,6949462,48,445,18,3335,3118,1597
201903,3/1/2019,61P,4831450.74,41407,6804277.26,41407,41407,41407,6800000,5232831,762,603,51,172,159,2925
201904,4/1/2019,61P,4668357.94,104525,6771950.82,104525,104525,104525,7000000,8020881,607,80,640,460,795,3399
201905,5/1/2019,61P,4671726.54,25193,6790729.55,25193,25193,25193,5500000,6470369,131,1666,120,200,2482,2381
201906,6/1/2019,61P,7510924.99,34902,10743166.9,3334,3334,3334,9000000,4557031,30,2640,7558,3300,30,3029
201907,7/1/2019,61P,5721536.67,30553,8369285.98,2148,4152,4152,9000000,8115817,331,2842,184,10512,215,2278
201908,8/1/2019,61P,11045720.89,33564,16359706.14,1988,3768,3768,10000000,7211198,17,434,1162,584,1823,2300
201909,9/1/2019,61P,5773690.38,27671,8058037.9,162,162,162,7000000,6394654,367,1252,204,47,279796,1817
201910,10/1/2019,61P,4454901.47,85277,6219807.37,271,442,442,5500000,7118458,50,1170,708,3110,963,1181
201911,11/1/2019,61P,4145209.83,23967,5973203.72,181,216,216,6800000,7263200,50,319,2841,3005,19659,2061
201912,12/1/2019,61P,5086615.17,30865,7007935.64,56,56,56,6000000,6132261,994,7809,692,376,327,4995
