period,period_date,amt_cost_group,qty_revenue,amt_revenue,qty_fcst_avg,qty_fcst_max,qty_fcst_min,amt_projection,amt_budget,qty_inv_main_part_1,qty_inv_main_part_2,qty_inv_main_part_3,qty_inv_main_part_4,qty_inv_main_part_5,qty_inv_FGI
201804,4/1/2018,67017045.76,1422590,83994159.13,1422590,1422590,1422590,84454697,113308415,27,81,205,525,38,138531
201805,5/1/2018,98289340.42,1603715,120776540,1603715,1603715,1603715,114960606,127620666,160,2950,3468,33,3582,120036
201806,6/1/2018,97197489.46,15075437,119595779.4,15075437,15075437,15075437,114126133,132777763,90,444,2128,48,756,110275
201807,7/1/2018,83850120.53,1523289,101812992,1523289,1523289,1523289,98050835,121961303,1429,2496,920,2,164535,129107
201808,8/1/2018,113590832.8,3942134,139865004.4,3942134,3942134,3942134,138450194,128272335,554,9558,22830,8510,650072,130633
201809,9/1/2018,102313263.2,2738930,123256131.4,2738930,2738930,2738930,123321913,135358612,31000,86646,2076,961,1961,123050
201810,10/1/2018,105450876.8,2384763,131839385.9,2384763,2384763,2384763,124748708,123652475,328,5157,1000,7270,301,133782
201811,11/1/2018,108724510.7,2095496,129776661.5,2095496,2095496,2095496,128777300,129834433,1609,10689,3800,86697,1195,149915
201812,12/1/2018,127592303.1,1833256,155828816.9,1833256,1833256,1833256,134881660,137381417,354,4020,4,11018,25077,133345
201901,1/1/2019,100438757.2,906081,126969115.4,906081,906081,906081,112949084,101349693,276,3,7868,224,406,142961
201902,2/1/2019,74681577.35,665072,93655467.36,665072,665072,665072,100485804,106095751,200,388,51194,3550,568,163515
201903,3/1/2019,111404547.6,1138987,142296831.8,1138987,1138987,1138987,133431032,127010540,24,2170,192,7852,283,169174
201904,4/1/2019,113805305,842730,145839976.4,842730,842730,842730,130045198,120183414,9,50,8975,99,124,212299
201905,5/1/2019,119801241.9,1400369,154354512.9,1400369,1400369,1400369,129238982,134566752,17,20,9258,2496,226,187224
201906,6/1/2019,109769542.5,725771,137124030.4,201409,261495,261495,132706088,134997746,357,38,4020,390,4764,208329
201907,7/1/2019,112900923.6,1473705,145807386.8,237930,307319,307319,139328502,130748155,104,648,7747,108,2022,189254
201908,8/1/2019,142901782.3,1351220,190239581.5,158112,262684,262684,178652099,148506772,200,1434,822,6104,535,206617
201909,9/1/2019,146438215,1658177,190318017.4,180131,322441,322441,169008367,150786361,577840,584,16,502,114,194094
201910,10/1/2019,116008728.6,1492669,149040076.5,180045,352088,352088,139176953,155843510,232,1050,4602,180,576,177975
201911,11/1/2019,109120262.8,1059470,139980793.9,134016,326906,326906,143219096,166048171,338,222,886,99,1634,179614
201912,12/1/2019,131170888,3110311,167290059.7,133842,369132,369132,156441980,160689522,450,4,152,952,152,199600
202001,1/1/2020,93882714.77,643578,123002015.6,145305,313507,313507,116358548,138433508,32,704,2858,9,900,189581
202002,2/1/2020,86358348.72,1515841,113021918.1,141137,325157,325157,109147775,148566021,2571,4206,13494,3764,100416,243067
202003,3/1/2020,118233901.3,1566605,154331180,151756,366936,366936,147237498,146451846,126,519,559,12772,4,174592
202004,4/1/2020,100456459.3,2247245,133754411.6,143041,311576,311576,133341125,145953532,6525,31570,4,16,170480,232613
202005,5/1/2020,94123218.89,1198086,124488449.3,117882,256662,256662,159173342,162173885,30,51,152,10,178,258545
202006,6/1/2020,123362200.2,891185,160382231.2,118103,239039,239039,154228993,166327091,9,4686,587,5262,406,188016
202007,7/1/2020,104163599.8,4025753,137403761,135826,291715,291715,136669820,157750990,2099,1988,1,5610,570,177742
202008,8/1/2020,121417429.6,3312701,164099334.2,129519,261874,261874,158495036,173727778,24,1,600,72,528,202141
202009,9/1/2020,136028524.8,3321719,180112506.1,142450,306628,306628,169191494,183520290,13752,8,1508,1331,20,182132
202010,10/1/2020,113702867.5,877322,149070374.4,126492,319400,319400,139311119,182281955,549,20,7362,3750,4800,233314
202011,11/1/2020,134475205.6,2875386,171376111.8,164182,408076,408076,173012007,182883486,2229,114,280,96,106,195458
202012,12/1/2020,169900174.9,7734387,218445569.5,191039,584084,584084,188306822,178309184,156,4567,5972,15754,3005,223178
202101,1/1/2021,119313056.4,867220,153214282.7,209748,880244,880244,150741519,154071366,3380,700,1600,62,76,262243
202102,2/1/2021,99709244.69,1736549,128707574,196827,730082,730082,134907452,139002080,738,18087,52,85,3108,219231
202103,3/1/2021,142143743.7,1228013,182995653.7,234817,708209,708209,176388120,156471665,58,1851,105,2295,6450,213417
202104,4/1/2021,126440158.6,2194224,163297437.3,310004,826807,826807,155292906,150656378,3107,31158,362,17770,1458,232969
202105,5/1/2021,136193766.1,1768176,175346427.6,272190,517447,517447,160954649,162567225,1,32,1364,3432,220,193412
202106,6/1/2021,128803460.4,746799,162908010,316289,680001,680001,158538883,168815211,2024,368,14603,3658982,4410,198439
202107,7/1/2021,130412271.9,999852,163306789.7,292636,613600,613600,156978467,186259380,39,160,132,900,7268,139722
202108,8/1/2021,156680865.2,1185216,198589088.2,285237,566462,566462,185458721,184421349,44328,4840,6,766,1038,205712
202109,9/1/2021,148212275.7,1128264,185338725,329731,589394,589394,182112846,192722429,586,23,94920,1107,35758,121643
202110,10/1/2021,143786079.6,924578,178729988.9,336763,670643,670643,176538353,185890374,1530,20,4675,3354,1115,134134
202111,11/1/2021,153533489.4,1720289,189052538.5,443969,635275,635275,191553681,184139106,1484,1676,24490,730,244,242784
202112,12/1/2021,184681074.6,6794380,237435693.7,394667,615934,615934,202897972,185310578,328,17420,78,37,195,292996
202201,1/1/2022,158597893,4408919,197065421.5,508097,873716,873716,194437085,185427562,9045,3360,754,3520,4108,346902
202202,2/1/2022,112710830,719414,139012585.5,511233,812940,812940,152285559,174649969,650,3125,522,7232,169632,370556
202203,3/1/2022,197590783.6,1367128,246151909.3,558349,788987,788987,210055535,188560546,6620,50,1272,1354,8600,287322
202204,4/1/2022,160660460.1,919531,198233229.1,466339,805981,805981,190114788,197269158,172,204064,14,1094,2,362602
202205,5/1/2022,171225155.6,2043724,214680621,533459,946484,946484,195869189,203042652,743,360,2,120175,477,275522
202206,6/1/2022,190267617.4,6326947,242223703.9,526013,870283,870283,228168765,193707254,4,54,320,40,25,312772
202207,7/1/2022,187965761.7,2415956,237526415.6,532343,1015452,1015452,236036143,186261924,1472,3882,88,6350,4213,316937
202208,8/1/2022,167021189.4,2771971,212550986.2,726802,1343071,1343071,227510963,189383516,58,488,291,5648,590272,347305
202209,9/1/2022,188257630.4,1290094,243266777.4,772511,1291041,1291041,229646301,183799368,226,19362,16,444,1323576,243206
202210,10/1/2022,166052004.1,1435252,210598178.5,925508,1489765,1489765,210304439,204967228,98,54,55,4,1220,309463
202211,11/1/2022,169365913.9,1232278,219703874.5,1021484,2041500,2041500,206259560,199661554,112,13,348,43,7,306121
202212,12/1/2022,225834073.6,5597595,291899085.3,1159912,2057813,2057813,241436329,197822856,195,10,3516,106,544,268426
202301,1/1/2023,163086740.8,2001454,210766329.9,1224265,2132373,2132373,202230813,221610356,17,5772,464,200,4449,288608
202302,2/1/2023,165032954,1915523,206020023.8,1158809,2444463,2444463,206648007,200467551,753,285,674,1240,39,305331
202303,3/1/2023,189388219.8,1768969,245543515,1092108,1851592,1851592,220766923,213655179,189,44,4800,140,17,390984
202304,4/1/2023,165035773.1,1319619,211197807.1,1039295,1560358,1560358,218942283,241578744,753,20640,8,50900,56602,253878
202305,5/1/2023,168600314.1,1402035,216857160.1,982264,1470035,1470035,202803484,244569085,822,137,75,1044,128,264778
202306,6/1/2023,193660512.5,7171005,245282777.3,989405,3778941,3778941,220449946,232766527,1936,8,24,34,1880,308999
202307,7/1/2023,192924348.7,1049455,245496874.7,1144229,5335943,5335943,232475893,260112317,21,42,116,64,2,337040
202308,8/1/2023,180639637.5,3958135,235537157.6,1071724,4227733,4227733,228904963,242214945,259,236,331,242,19,391447
202309,9/1/2023,181821257.3,1145574,238827178.4,900553,3080205,3080205,241119984,238237982,252,1636,44,33,6381,346360
202310,10/1/2023,155535161.8,958968,198252848.2,912520,3355074,3355074,208203143,267136005,64,10040,4692,16,290,339418
