period,period_date,oem_code,amt_cost_group,qty_revenue,amt_revenue,qty_fcst_avg,qty_fcst_max,qty_fcst_min,amt_projection,amt_budget,qty_inv_main_part_1,qty_inv_main_part_2,qty_inv_main_part_3,qty_inv_main_part_4,qty_inv_main_part_5,qty_inv_FGI
201804,4/1/2018,APL,3112020.35,40629,3533855.18,40629,40629,40629,3000000,13799799,5,20,40263,8,28004,13369
201805,5/1/2018,APL,6499253.12,83592,7322639.07,83592,83592,83592,6290000,16069126,2450,395,365345,28455,132820,11306
201806,6/1/2018,APL,12726951.38,91592,14229062.83,91592,91592,91592,13000000,13696523,3486,318,2313,41,1144,6632
201807,7/1/2018,APL,9609987.74,97535,10626595.47,97535,97535,97535,9500000,12055204,2,68,3240159,230349,536,20284
201808,8/1/2018,APL,14981784.78,113649,16323554.46,113649,113649,113649,16500000,12807073,665,5362,452657,134,24793,24732
201809,9/1/2018,APL,17733201.76,135064,19403486.61,135064,135064,135064,15000000,13821038,449,989,6044,70704,583,20078
201810,10/1/2018,APL,19208874.58,147187,20831192.73,147187,147187,147187,16000000,10694793,1742,418210,511543,230,566,12684
201811,11/1/2018,APL,20528949.76,165293,22410152.38,165293,165293,165293,19000000,7241665,4,337,3675893,29123,340,26556
201812,12/1/2018,APL,18737201.55,148186,20746389.09,148186,148186,148186,19000000,6098837,2,34,119535,338196,56922,11242
201901,1/1/2019,APL,19670726.93,162905,22057615.13,162905,162905,162905,20000000,9608516,157,91,546819,435750,75019,31981
201902,2/1/2019,APL,14683228.4,112870,16516587.67,112870,112870,112870,16000000,8147792,8,128,393,12575,58,42106
201903,3/1/2019,APL,23775361.61,183954,26188651.06,183954,183954,183954,17000000,10211658,1186,161430,134,350,21600,36997
201904,4/1/2019,APL,18151411.33,135210,18998426.56,135210,135210,135210,15000000,7714600,1178,3112,30,14101,1336,30981
201905,5/1/2019,APL,14362267.23,164248,18203840.84,164248,164248,164248,12000000,8139784,6,6114,10361,56,37586,20908
201906,6/1/2019,APL,10593210.46,116909,13009286.75,127040,157700,157700,14000000,12478944,881,180994,465520,131,2010,26687
201907,7/1/2019,APL,17610703.45,250687,21228851.05,170569,210926,210926,18000000,11393440,881,1802,737455,53,86267,27593
201908,8/1/2019,APL,16617638.78,228908,19486803.8,154452,179500,179500,16500000,15508170,881,128,20852,181,3857,62861
201909,9/1/2019,APL,19576691.28,220509,22756102.39,178331,249827,249827,24000000,19639780,17292,18,177711,2400,1155,70118
201910,10/1/2019,APL,27291885.59,298505,31709977.15,216992,271058,271058,27000000,16219120,881,11662,181,365618,79818,50769
201911,11/1/2019,APL,17045738.6,227436,19508026.09,170250,224700,224700,15000000,15998685,60,18,288,200340,65539,33112
201912,12/1/2019,APL,14701215.89,220156,16355077.47,204975,301800,301800,16000000,15287500,53,1784,18,23984,420,52258
202001,1/1/2020,APL,11988099.56,158000,14108438.25,209189,258436,258436,14000000,19665357,6,102,193695,288,19026,51354
202002,2/1/2020,APL,7452033.42,85189,8719461.81,188797,203690,203690,10000000,26899499,900,34833,172578,389430,130720,82170
202003,3/1/2020,APL,10280003.24,145987,12095425.56,177406,235900,235900,15000000,27862169,180,1061,858,250,108590,32390
202004,4/1/2020,APL,6140715.76,59415,7182840,153737,212500,212500,8500000,24446144,882,182,530462,252,2558,87529
202005,5/1/2020,APL,8383514.88,107796,10021254.83,151757,194900,194900,11500000,29542676,50700,2600,404,155,244425,78908
202006,6/1/2020,APL,16995696.63,208632,20018370.26,119100,152700,152700,16000000,31407378,3742,270,4,38856,14826,20491
202007,7/1/2020,APL,17651115.41,189781,20050367.68,152160,181102,181102,18000000,28727175,71,8760,112494,252,15144,21322
