period,period_date,oem_code,amt_cost_group,qty_revenue,amt_revenue,qty_fcst_avg,qty_fcst_max,qty_fcst_min,amt_projection,amt_budget,qty_inv_main_part_1,qty_inv_main_part_2,qty_inv_main_part_3,qty_inv_main_part_4,qty_inv_main_part_5,qty_inv_FGI
201804,4/1/2018,EC,1813778.91,10906,2903046.27,10906,10906,10906,3500000,6951737,301,2314,1300,2224,65,5595
201805,5/1/2018,EC,2006355.98,14942,3114674.45,14942,14942,14942,3000000,7690856,240,30545,5382,10,6446,6474
201806,6/1/2018,EC,1444220.27,9254,2410891.61,9254,9254,9254,3000000,7787023,12,1,72606,20,9157,6067
201807,7/1/2018,EC,1446158.02,11495,2295473.01,11495,11495,11495,4000000,7126516,5800,2292,624,304,29,4217
201808,8/1/2018,EC,1506945.64,9090,2472747.23,9090,9090,9090,3500000,6744267,631,285,4257,2215,326,6697
201809,9/1/2018,EC,1677444.96,7097,2910517.29,7097,7097,7097,3500000,8359378,10452,568,183,60,1324,5857
201810,10/1/2018,EC,2342333.83,13233,3720469.21,13233,13233,13233,3000000,8080165,100,8388,7,33232,17,5329
201811,11/1/2018,EC,1570595.07,11620,2700793.3,11620,11620,11620,4000000,7038491,408,20629,2572,25,71,5235
201812,12/1/2018,EC,2403093.17,11469,4089699.04,11469,11469,11469,5000000,6793388,3360,29,253,22216,273,4990
201901,1/1/2019,EC,2556295.76,13432,4126421.77,13432,13432,13432,3500000,5114492,266,2427,1560,224,73,4912
201902,2/1/2019,EC,1116404.15,8036,2332046.53,8036,8036,8036,2500000,5941744,125,833,1757,46,3088,4255
201903,3/1/2019,EC,2158341.97,8547,3789864.5,8547,8547,8547,4000000,8802882,56,12,148,1920,270,5006
201904,4/1/2019,EC,1910255.76,7540,3088005.82,7540,7540,7540,4000000,5895115,254,106,200,24,16,4307
201905,5/1/2019,EC,2174534.68,12061,3765299.02,12061,12061,12061,4300000,6228715,168,113,4476,17,3220,4073
201906,6/1/2019,EC,1873837.88,8145,3214792.68,0,0,0,4000000,7605933,1768,1926,2745,56,44,4864
201907,7/1/2019,EC,1872914.87,12631,3353454.26,0,0,0,3500000,6496598,797,103,2548,28,5263,4395
201908,8/1/2019,EC,1752656.06,10386,3028638.91,0,0,0,4200000,10184968,34,8195,4,526,194,4017
201909,9/1/2019,EC,1835280.42,11604,3341270.95,0,0,0,4230000,5835244,585,46,1794,28,217,2602
201910,10/1/2019,EC,2068918.35,11687,3528469.56,0,0,0,3850000,8407242,2001,5122,30,20,63,2004
201911,11/1/2019,EC,2158097.88,12107,3972414.35,0,0,0,3460000,10363036,128,660,279,2370,6616,2152
201912,12/1/2019,EC,2705267.97,19289,4728987.08,0,0,0,5000000,4739006,489,2090,480,390,220,4540
202001,1/1/2020,EC,1766963.09,11951,3294502.14,0,0,0,4000000,5476061,352,62,160,134,19203,4143
