row_id,dt_input,period_input,dt_fcst,period_fcst,product_no,product_no_family,model_no,model_no_family,customer_project,customer_project_family,oem_code,qty_fcst,amount_fcst,amt_revenue,amt_cost_group,amt_fcst_min,amt_fcst_max,qty_fcst_min,qty_fcst_max,amt_backlog,qty_backlog,qty_FGI_inventory,amt_FGI_inventory,amt_projection,amt_budget,stage_project,dt_mp,month_mp,stat_endoflife,dt_endoflife,main_parts_1,main_parts_category_1,qty_onhand_main_parts_1,receive_main_parts_1,leadtime_main_parts_1,leadtime_main_parts_his_1,main_parts_2,main_parts_category_2,qty_onhand_main_parts_2,receive_main_parts_2,leadtime_main_parts_2,leadtime_main_parts_his_2,main_parts_3,main_parts_category_3,qty_onhand_main_parts_3,receive_main_parts_3,leadtime_main_parts_3,leadtime_main_parts_his_3,main_parts_4,main_parts_category_4,qty_onhand_main_parts_4,receive_main_parts_4,leadtime_main_parts_4,leadtime_main_parts_his_4,main_parts_5,main_parts_category_5,qty_onhand_main_parts_5,receive_main_parts_5,leadtime_main_parts_5,leadtime_main_parts_his_5
12727,29,201905,61,201908,1558,1550,248,246,70,70,6,30,72152.0,-0.1530767451194656,-0.0853510183523751,71171.0,72152.0,-0.089883867069078,-0.1596142839643071,0.0,0,56,112191.12,-1.2221860115833216,-1.2152346053939174,1,98,8.0,1,0,157,12,92,0,280,364,59,13,304,0,112,252,539,8,198,0,112,91,498,8,277,0,336,490,335,6,0,0,56,56
194476,19,202203,47,202305,109,110,1216,1200,217,217,8,2570,423299.0,-0.1483798153171858,-0.2029903534523426,9208.0,1130360.0,-0.0855755379704366,-0.0186669591985885,0.0,0,415,72286.06,0.8633362424521106,0.9108953551350352,1,213,36.0,1,0,557,10,147,893,28,28,278,6,185,6192,56,56,363,4,183,6192,56,56,730,11,3,0,28,28,300,1,4168,33739,70,70
875545,33,202305,53,202306,1602,1594,142,143,33,33,15,5,46245.65,-0.0943826831791648,-0.0853510183523751,37095.0,46245.65,-0.0947796955902614,-0.1610985649748981,46245.65,5,0,0.0,-0.1794248845656054,-0.1945363206960098,1,62,7.0,1,0,232,12,226,31,224,224,49,13,85,5,112,112,495,6,310,0,182,182,353,6,0,0,42,42,433,6,0,0,56,56
195636,19,202203,65,202308,1597,1589,1654,1617,102,102,8,11,67939.0,-0.0973973953511668,-0.0971120963117618,14126.0,85869.0,-0.0953671950128034,-0.1607423375323562,0.0,0,0,0.0,0.1959691211607722,1.0289459213314034,1,50,10.0,1,0,223,12,565,0,350,350,494,10,9,0,84,84,97,11,339,0,112,112,29,7,44,0,56,56,400,6,9,0,56,56
116355,40,202107,33,202203,519,515,577,574,66,66,11,50,98402.0,-0.1530767451194656,-0.2142471192730212,1877.0,111186.0,-0.0955630281536507,-0.1578331467515979,0.0,0,0,0.0,-1.2221860115833216,-1.2152346053939174,1,336,6.0,1,0,165,12,850,0,280,364,388,8,126,0,364,420,558,8,533,0,84,84,199,8,1739,646,224,364,107,13,1375,647,112,196
98004,24,202104,69,202109,1332,1326,154,155,9,9,4,2200,1200528.0,-0.0943826831791648,-0.0853510183523751,714062.0,1200528.0,-0.0382818344558048,-0.0307786922450109,0.0,0,4495,3512167.01,0.2237899880296049,1.6044870310651131,1,74,10.0,1,0,449,7,5,0,182,378,433,10,1958,0,70,84,522,8,1958,0,70,84,309,6,123,621,56,56,710,11,3,0,21,14
236156,37,202206,53,202306,774,769,1281,1258,127,127,0,115,5625.0,-0.1530767451194656,-0.2142471192730212,788.0,5625.0,-0.092821364181788,-0.1545677285282978,0.0,0,0,0.0,1.9060973694698269,1.3916694697511816,1,15,89.0,1,0,309,10,167,0,70,70,590,11,623,60,42,42,700,9,2514,960,35,35,621,11,357,0,28,28,621,11,1375,0,28,28
49329,23,202004,25,202102,270,271,1056,1060,125,125,8,361,63467.0,-0.0943826831791648,-0.0853510183523751,8763.0,209687.0,-0.0861630373929786,-0.0934747221323735,0.0,0,6,570.74,0.0291273408379377,0.0489427998280491,1,35,100.0,1,0,559,10,0,0,21,14,289,6,26,0,56,56,444,6,92,150,84,378,268,6,0,0,56,56,644,11,3,106,14,14
98464,24,202104,14,202111,232,233,1009,1013,408,408,17,32,26211.0,-0.1530767451194656,-0.2142471192730212,26211.0,74936.0,-0.0894922007873833,-0.156348865741007,0.0,0,0,0.0,-1.1526686031154738,-1.024553055858966,1,69,84.0,1,0,428,7,5944,2808,210,378,131,13,30,220,280,350,123,11,0,0,280,350,608,10,0,0,84,84,330,6,73,30,56,56
175806,14,202202,58,202207,800,795,1298,1275,396,396,0,7,1967.0,-0.0943826831791648,-0.0853510183523751,1245.0,39398.0,-0.0947796955902614,-0.1530834475177069,0.0,0,0,0.0,0.9176782092036524,0.463578110236473,1,298,23.0,1,0,472,7,102,0,280,378,580,11,41,533,21,21,701,9,194,290,42,42,740,11,6165,0,35,56,693,11,1704,10000,28,28
