row_id,dt_input,period_input,dt_fcst,period_fcst,product_no,product_no_family,model_no,model_no_family,customer_project,customer_project_family,oem_code,qty_fcst,amount_fcst,qty_revenue,amt_cost_group,amt_fcst_min,amt_fcst_max,qty_fcst_min,qty_fcst_max,amt_backlog,qty_backlog,qty_FGI_inventory,amt_FGI_inventory,amt_projection,amt_budget,stage_project,dt_mp,month_mp,stat_endoflife,dt_endoflife,main_parts_1,main_parts_category_1,qty_onhand_main_parts_1,receive_main_parts_1,leadtime_main_parts_1,leadtime_main_parts_his_1,main_parts_2,main_parts_category_2,qty_onhand_main_parts_2,receive_main_parts_2,leadtime_main_parts_2,leadtime_main_parts_his_2,main_parts_3,main_parts_category_3,qty_onhand_main_parts_3,receive_main_parts_3,leadtime_main_parts_3,leadtime_main_parts_his_3,main_parts_4,main_parts_category_4,qty_onhand_main_parts_4,receive_main_parts_4,leadtime_main_parts_4,leadtime_main_parts_his_4,main_parts_5,main_parts_category_5,qty_onhand_main_parts_5,receive_main_parts_5,leadtime_main_parts_5,leadtime_main_parts_his_5
271505,44,202208,21,202212,299,299,1613,1586,342,342,8,1500,278280.0,-0.0908348402024535,-0.2142471192730212,278280.0,615813.0,-0.0382818344558048,-0.0186669591985885,4734470.4,25520,21,3307.32,1.1066471720895776,0.3830209120565298,1,197,19.0,1,0,558,10,36,427,21,21,476,10,2,0,56,56,451,6,4,0,84,84,41,7,148561,19760,112,112,360,6,26,0,56,56
111869,36,202106,70,202209,1509,1501,274,272,41,41,11,23,78570.0,-0.0908348402024535,-0.2142471192730212,34142.0,110596.0,-0.0938005298860247,-0.1594955414834598,0.0,0,0,0.0,-1.2221860115833216,-1.2152346053939174,1,85,45.0,1,0,152,12,248,0,350,364,469,10,0,0,112,147,73,11,1132,2439,112,252,509,8,0,0,182,378,353,6,10,10,56,56
114041,40,202107,8,202110,929,924,1698,1667,389,389,7,140,6933.0,-0.0908348402024535,-0.2142471192730212,4553.0,6933.0,-0.0761755472097644,-0.1530834475177069,0.0,0,0,0.0,-1.2221860115833216,-1.2152346053939174,1,110,46.0,1,0,35,12,1062,0,168,364,267,6,1869,11,56,140,529,8,2478,0,70,84,619,11,8,0,14,14,486,8,744,0,56,378
15186,34,201906,61,201908,994,989,1382,1360,152,152,7,50,10652.0,-0.0908348402024535,-0.2142471192730212,5225.0,10652.0,-0.0908630327733146,-0.1584268591558343,0.0,0,0,0.0,-1.2159294448212152,-1.2152346053939174,1,95,20.0,1,0,45,12,915,0,182,196,269,6,0,0,56,84,132,11,800,0,182,364,177,13,61,0,147,364,194,13,0,0,224,224
262954,43,202208,47,202305,495,491,937,939,186,186,33,566,523166.0,-0.0908348402024535,-0.2142471192730212,151006.88,534372.0,-0.0632505599138402,-0.1277319278568131,0.0,0,15,11124.18,-1.0483924904137023,-1.1211667135127392,1,344,92.0,1,0,129,12,333,0,224,224,587,11,34,90,35,35,124,11,359,0,224,224,540,10,1880,1200,70,70,528,10,1880,1200,70,70
213712,32,202205,58,202207,1235,1230,90,90,35,35,15,1892,2888159.0,-0.0670300380360899,-0.0853510183523751,2641158.0,4534021.0,-0.0382818344558048,-0.0186669591985885,0.0,0,12,3222.97,0.5157492001128718,0.7761855320696431,1,128,29.0,1,0,178,12,18646,1470,56,168,69,13,3863,4633,112,196,139,11,4394,9609,182,364,62,7,3871,10770,70,140,225,15,21246,0,210,350
663332,15,202302,28,202402,69,70,1647,1612,245,245,8,618,52319.88,-0.0908348402024535,-0.2142471192730212,21691.0,54858.9,-0.0382818344558048,-0.1232790848250402,41144.76,486,0,0.0,0.3071969747093286,-1.2152346053939174,1,267,19.0,1,0,559,10,0,0,21,21,310,6,0,0,56,56,458,6,0,0,84,84,356,6,0,0,56,56,470,6,0,0,56,56
323110,50,202209,22,202312,566,562,1611,1584,118,118,8,79,11587.97,-0.0908348402024535,-0.2142471192730212,0.0,132580.89,-0.0804838763084058,-0.0186669591985885,0.0,0,0,0.0,1.0718884678556535,0.2021948440098677,1,198,31.0,1,0,558,10,8,0,21,21,477,10,0,0,56,56,34,5,0,0,112,112,185,15,3379,0,56,56,6,9,18443,0,182,182
182518,14,202202,16,202311,774,769,1281,1258,127,127,0,62,3054.0,-0.0670300380360899,-0.1400196503186828,210.0,4633.44,-0.0949755287311087,-0.1564082369814306,0.0,0,84,4406.0,0.2376795662414809,1.706072999459854,1,15,94.0,1,0,309,10,47,0,70,70,590,11,488,0,42,42,700,9,3791,0,35,35,621,11,191,0,28,28,621,11,238,300,28,28
785914,26,202304,48,202405,1558,1550,248,246,70,70,6,600,1761108.0,-0.0908348402024535,-0.2142471192730212,482387.0,1761108.0,-0.0565922331250308,-0.125772676922833,149694.18,51,0,0.0,-1.2221860115833216,-1.2152346053939174,1,98,65.0,1,0,157,12,0,0,280,280,59,13,0,0,112,112,539,8,0,0,112,112,498,8,0,0,336,336,335,6,0,0,56,56
215222,32,202205,64,202208,1571,1563,1143,1139,198,198,8,7,16722.0,-0.0670300380360899,-0.0853510183523751,14333.0,2059127.4,-0.094583862449414,-0.1222104024974147,0.0,0,162,353828.82,0.1681621577736332,0.7279366206149531,1,116,42.0,1,0,188,12,887,0,350,546,78,13,5174,594,112,168,541,8,487,500,84,84,502,8,2532,2990,182,490,355,6,4,570,42,56
72496,8,202011,25,202102,187,188,1061,1065,216,216,8,23,3826.0,-0.0908348402024535,-0.2142471192730212,3131.0,81318.0,-0.0920380316183986,-0.1312942022822314,0.0,0,266,43739.49,0.0291273408379377,0.0489427998280491,1,214,93.0,1,0,377,7,109,305,84,378,581,11,0,0,21,14,343,4,163,0,56,56,272,6,0,0,56,56,242,8,291,16516,70,98
141022,9,202111,26,202202,295,295,1103,1103,395,395,8,684,152265.0,-0.0908348402024535,-0.2142471192730212,24513.0,158281.0,-0.0750005483646804,-0.1207261214868237,0.0,0,0,0.0,-0.5270119269048442,-0.0409570886399874,1,275,67.0,1,0,410,7,2467,0,84,378,581,11,0,0,21,14,354,4,193,19,42,56,296,6,309,5,42,56,242,8,71287,0,70,98
213152,32,202205,52,202206,1807,1798,1466,1445,346,346,0,2,4856.0,-0.0803607272492535,-0.0853510183523751,2390.0,11522.0,-0.0955630281536507,-0.1610985649748981,0.0,0,1,3.61,0.8633362424521106,0.4120293653597596,1,239,24.0,1,0,54,12,10,0,28,28,465,10,199,0,84,84,48,5,13,0,84,28,506,8,888,0,308,553,155,13,183,0,28,28
366246,49,202209,42,202404,748,743,1670,1632,189,189,0,20,97.6,-0.0908348402024535,-0.2142471192730212,4.0,117.0,-0.0955630281536507,-0.1597330264451544,0.0,0,0,0.0,0.1681621577736332,-1.2152346053939174,1,185,132.0,1,0,558,10,0,0,21,21,590,11,0,0,42,42,700,9,0,0,35,35,642,11,0,0,28,28,443,6,0,0,56,56
98884,24,202104,20,202112,1476,1468,1517,1495,426,426,0,30,69193.0,-0.0908348402024535,-0.2142471192730212,53495.0,69193.0,-0.0912546990550093,-0.1596142839643071,0.0,0,0,0.0,0.5366044226532262,0.6346493336427957,1,128,22.0,1,0,324,5,137,0,56,56,237,1,129,0,84,84,362,4,140,0,56,56,707,11,2,0,28,28,691,11,1813,388,42,42
196807,19,202203,4,202401,1721,1712,1766,1735,403,403,0,1832,356502.0,-0.0908348402024535,-0.2142471192730212,126938.13,443636.0,-0.0382818344558048,-0.0262664779728143,0.0,0,0,0.0,0.1681621577736332,-1.2152346053939174,1,293,89.0,1,0,29,12,0,0,182,182,353,8,0,0,280,280,17,5,0,0,140,140,707,11,0,0,28,28,564,10,0,0,70,70
437532,5,202210,27,202302,1240,1235,291,289,323,323,13,25,36771.5,-0.0908348402024535,-0.2142471192730212,14708.6,36771.5,-0.0938005298860247,-0.1599111401664253,0.0,0,14,17153.38,-0.9381672864474776,-0.9435815771961864,1,99,50.0,1,0,575,5,0,0,28,28,591,10,600,15,56,56,704,8,600,15,56,56,745,10,600,15,56,56,755,10,600,15,56,56
193376,19,202203,27,202302,753,748,1293,1270,268,268,0,1968,103797.0,-0.0670300380360899,-0.0853510183523751,20445.0,175029.6,-0.0382818344558048,-0.0186669591985885,0.0,0,143,7261.79,1.4889929186627402,0.7847592717941746,1,264,79.0,1,0,483,7,0,0,364,364,580,11,118,458,21,21,701,9,180,0,42,42,740,11,5905,0,35,35,693,11,384,6700,28,28
634912,1,202301,41,202304,100,101,1203,1189,117,117,8,3800,831440.0,-0.0670300380360899,-0.0853510183523751,18457.0,831440.0,-0.0761755472097644,-0.0186669591985885,2124548.0,9710,11,1812.94,1.2109232847913491,0.6746582291300843,1,223,34.0,1,0,412,7,1,0,84,84,581,11,17,150,21,21,320,4,1092,4896,56,56,414,6,1090,4896,56,56,741,11,6,0,28,28
